source_identifier,date_uploaded,date_modified,file,visibility,collection,model,resource_type,title,alternative_title,creator_family_name_1,creator_given_name_1,creator_institutional_relationship_1,creator_middle_name_1,creator_name_type_1,creator_role_1,creator_suffix_1,creator_family_name_2,creator_given_name_2,creator_institutional_relationship_2,creator_middle_name_2,creator_name_type_2,creator_role_2,creator_family_name_3,creator_given_name_3,creator_institutional_relationship_3,creator_middle_name_3,creator_name_type_3,creator_suffix_3,creator_family_name_4,creator_given_name_4,creator_institutional_relationship_4,creator_middle_name_4,creator_name_type_4,creator_family_name_5,creator_given_name_5,creator_institutional_relationship_5,creator_middle_name_5,creator_name_type_5,creator_family_name_6,creator_given_name_6,creator_institutional_relationship_6,creator_middle_name_6,creator_name_type_6,creator_suffix_6,creator_family_name_7,creator_given_name_7,creator_institutional_relationship_7,creator_middle_name_7,creator_name_type_7,creator_family_name_8,creator_given_name_8,creator_institutional_relationship_8,creator_middle_name_8,creator_name_type_8,creator_family_name_9,creator_given_name_9,creator_institutional_relationship_9,creator_middle_name_9,creator_name_type_9,creator_family_name_10,creator_given_name_10,creator_institutional_relationship_10,creator_middle_name_10,creator_name_type_10,creator_family_name_11,creator_given_name_11,creator_institutional_relationship_11,creator_middle_name_11,creator_name_type_11,creator_suffix_11,creator_family_name_12,creator_given_name_12,creator_institutional_relationship_12,creator_middle_name_12,creator_name_type_12,creator_family_name_13,creator_given_name_13,creator_institutional_relationship_13,creator_name_type_13,contributor_family_name_1,contributor_given_name_1,contributor_institutional_relationship_1,contributor_middle_name_1,contributor_name_type_1,contributor_organisation_name_1,contributor_type_1,volume,admin_set,abstract,date_published,organisational_unit,journal_title,issue,pagination,publisher,isbn,issn,license,rights_holder,doi,peer_reviewed,additional_information,is_included_in,degree,irb_number,irb_status,locations,outcome,participant,reading_level,challenged,photo_caption,photo_description,buy_book,page_display_order_number,depositor
c109b1ff-6d9a-4498-b86c-190e7dcbe2e0,2020-03-19,2020-03-19,nypl-hydra-of-lerna.jpg,open,e51dbdd3-11bd-47f6-b00a-8aace969f2ab,PacificArticle,Research Article,Bourdieu's Art,"",Wilkes,Christopher,Pacific University,D,Personal,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"<p>""Bourdieu and Art"" was a paper written for a graduate class in Art and Literature at York St. John University, York, England, in November 2010. It provides an overview of Bourdieu's work on the logic and symbolic power of the artistic world.</p><br/>",2010-01-01,"Sociology, Anthropology, Social Work and Public Health","Department of Sociology, Anthropology and Social Work","","","","","",https://commons.pacificu.edu/rights,"","","","","","","","","","","","","","","","",7,"batchuser@example.com"
54237483-f9d9-4b03-8867-812eb58bd4ac,2020-03-19,2020-03-19,,open,e51dbdd3-11bd-47f6-b00a-8aace969f2ab,PacificArticle,Research Article,The New Zealand Class Structure,"",Wilkes,Christopher,Pacific University,"",Personal,"","",Davis,Peter,"","",Personal,"",Tait,David,"","",Personal,"",Chrisp,Peter,"","",Personal,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"<p>This article was written in 1985 as an introduction to the findings from the National Survey on Social Class in New Zealand, 1984. It provides a summary of findings of that survey, and it also offers an introduction to a book-length project 'Reinventing Capitalism' that is in preparation with Cambridge Scholars Press. The book is expected to be published early in 2019.</p><br/>",1985-01-01,"Sociology, Anthropology, Social Work and Public Health","Department of Sociology, Anthropology and Social Work","","","","","","","","","","","","","","","","","","","","","","",8,"batchuser@example.com"
